# messageDelay  cumulativeProbability
1012.8000 0.7321
1014.7000 0.7333
1016.5000 0.7344
1020.2000 0.7356
1025.0000 0.7368
1025.9000 0.7380
1027.6000 0.7391
1029.3000 0.7403
1035.2000 0.7415
1039.0000 0.7427
1046.9000 0.7438
1047.2000 0.7450
1051.0000 0.7462
1051.1000 0.7474
1059.1000 0.7485
1061.6000 0.7497
1077.8000 0.7509
1083.2000 0.7521
1084.5000 0.7532
1095.9000 0.7544
1098.9000 0.7556
1107.6000 0.7568
1110.8000 0.7579
1116.4000 0.7591
1129.6000 0.7603
1135.7000 0.7615
1136.5000 0.7626
1147.9000 0.7638
1149.2000 0.7650
1161.0000 0.7662
1168.4000 0.7673
1195.9000 0.7685
1197.1000 0.7697
1199.0000 0.7709
1210.6000 0.7720
1214.6000 0.7732
1215.3000 0.7744
1228.2000 0.7756
1235.3000 0.7767
1237.4000 0.7779
1238.3000 0.7791
1260.9000 0.7803
1260.9000 0.7814
1267.5000 0.7826
1268.3000 0.7838
1281.3000 0.7850
1283.7000 0.7861
1288.9000 0.7873
1300.1000 0.7885
1314.8000 0.7897
1332.2000 0.7908
1349.9000 0.7920
1350.3000 0.7932
1352.8000 0.7944
1367.9000 0.7955
1373.1000 0.7967
1387.5000 0.7979
1393.2000 0.7991
1432.5000 0.8002
1433.2000 0.8014
1444.0000 0.8026
1446.2000 0.8038
1449.4000 0.8049
1456.9000 0.8061
1458.6000 0.8073
1478.2000 0.8085
1494.7000 0.8096
1494.9000 0.8108
1497.4000 0.8120
1527.8000 0.8132
1554.0000 0.8143
1560.2000 0.8155
1567.1000 0.8167
1588.8000 0.8179
1600.9000 0.8190
1601.9000 0.8202
1625.2000 0.8214
1639.4000 0.8226
1646.7000 0.8237
1671.9000 0.8249
1681.7000 0.8261
1701.7000 0.8273
1718.0000 0.8284
1727.1000 0.8296
1778.2000 0.8308
1788.3000 0.8320
1806.7000 0.8331
1810.7000 0.8343
1830.5000 0.8355
1838.7000 0.8367
1878.0000 0.8378
1913.9000 0.8390
1927.9000 0.8402
2007.1000 0.8414
2009.2000 0.8425
2010.7000 0.8437
2038.0000 0.8449
2058.0000 0.8461
2086.2000 0.8472
2098.9000 0.8484
2114.2000 0.8496
2191.6000 0.8508
2248.8000 0.8519
2268.3000 0.8531
2274.2000 0.8543
2294.9000 0.8555
2326.4000 0.8566
2358.4000 0.8578
2370.8000 0.8590
2407.9000 0.8602
2412.0000 0.8613
2472.3000 0.8625
2479.0000 0.8637
2558.1000 0.8649
2576.2000 0.8660
2602.2000 0.8672
2758.2000 0.8684
3005.5000 0.8696
3111.8000 0.8707
3126.7000 0.8719
3175.2000 0.8731
3225.8000 0.8743
3275.7000 0.8754
3532.0000 0.8766
3659.2000 0.8778
3665.8000 0.8790
3908.2000 0.8801
3933.2000 0.8813
4134.2000 0.8825
4943.7000 0.8837
5619.7000 0.8848
5652.7000 0.8860
6123.2000 0.8872
