# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2781.5000 A175 31 3 286.5000 Street_7 Avenue_12 295 N Street_7->Avenue_18->Avenue_11->Avenue_12
2781.6000 A153 31 2 582.6000 Avenue_14 Avenue_12 290 N Avenue_14->Avenue_11->Avenue_12
2847.2000 A187 31 1 178.2000 Street_6 Street_7 297 N Street_6->Street_7
2852.2000 A194 31 1 76.2000 Street_3 Street_2 298 N Street_3->Street_2
2861.1000 A129 31 3 1026.1000 Street_2 Avenue_14 282 N Street_2->Street_1->Avenue_17->Avenue_14
2899.2000 A174 31 2 414.2000 Avenue_17 Avenue_19 293 N Avenue_17->Avenue_14->Avenue_19
2899.3000 A170 31 2 475.3000 Avenue_17 Avenue_19 292 N Avenue_17->Avenue_14->Avenue_19
2899.4000 A177 31 2 371.4000 Avenue_18 Avenue_14 293 N Avenue_18->Avenue_19->Avenue_14
2899.5000 A167 31 1 508.5000 Avenue_19 Avenue_14 291 N Avenue_19->Avenue_14
2908.7000 A204 31 1 5.7000 Street_5 Street_1 299 N Street_5->Street_1
2919.5000 A193 31 1 162.5000 Street_1 Street_2 297 N Street_1->Street_2
2920.5000 A185 31 3 283.5000 Avenue_15 Street_8 295 N Avenue_15->Avenue_19->Street_9->Street_8
2930.8000 A190 31 1 223.8000 Avenue_11 Avenue_17 296 N Avenue_11->Avenue_17
2939.2000 A184 31 3 321.2000 Avenue_15 Street_4 294 N Avenue_15->Street_1->Street_10->Street_4
2939.3000 A191 31 3 213.3000 Avenue_15 Street_4 296 N Avenue_15->Street_1->Street_10->Street_4
2957.0000 A197 31 1 139.0000 Street_4 Avenue_15 297 N Street_4->Avenue_15
2970.5000 A198 31 2 139.5000 Street_8 Street_5 297 N Street_8->Street_4->Street_5
2970.6000 A195 31 1 181.6000 Street_4 Street_5 296 N Street_4->Street_5
2982.7000 A202 31 2 101.7000 Avenue_14 Street_1 298 N Avenue_14->Street_9->Street_1
2982.8000 A166 31 2 601.8000 Avenue_14 Street_1 289 N Avenue_14->Street_9->Street_1
2988.5000 A206 31 1 52.5000 Street_5 Street_9 299 N Street_5->Street_9
3081.8000 A209 31 1 99.8000 Street_10 Street_1 298 N Street_10->Street_1
3119.0000 A214 31 1 51.0000 Street_7 Avenue_19 299 N Street_7->Avenue_19
3119.1000 A186 31 3 465.1000 Avenue_12 Street_7 292 N Avenue_12->Avenue_11->Avenue_19->Street_7
3125.5000 A118 31 2 1447.5000 Street_1 Avenue_20 275 N Street_1->Avenue_17->Avenue_20
3125.6000 A215 31 1 39.6000 Avenue_20 Avenue_17 299 N Avenue_20->Avenue_17
3125.7000 A199 31 2 282.7000 Avenue_13 Avenue_17 295 N Avenue_13->Avenue_20->Avenue_17
3170.4000 A157 31 3 911.4000 Avenue_15 Street_3 284 N Avenue_15->Street_4->Street_7->Street_3
3178.7000 A201 31 2 307.7000 Street_2 Avenue_19 294 N Street_2->Street_1->Avenue_19
3190.0000 A221 31 1 18.0000 Street_5 Street_4 299 N Street_5->Street_4
3193.1000 A223 31 1 0.1000 Street_5 Street_4 299 N Street_5->Street_4
